service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CALEND-021-Καθημερινή-06,1,1,1,1,1,0,0,20161201,20170630
CALEND-021-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-021-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-022-Καθημερινή-06,1,1,1,1,1,0,0,20161201,20170630
CALEND-022-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-022-Σάββατο-05,0,0,0,0,0,1,0,20161203,20170701
CALEND-024-Καθημερινή-11,1,1,1,1,1,0,0,20161201,20170630
CALEND-024-Κυριακή-10,0,0,0,0,0,0,1,20161204,20170625
CALEND-024-Σάββατο-11,0,0,0,0,0,1,0,20161203,20170701
CALEND-025-026-Καθημερινή-07,1,1,1,1,1,0,0,20161201,20170630
CALEND-025-026-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-025-026-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-035-Καθημερινή-04,1,1,1,1,1,0,0,20161201,20170630
CALEND-035-Κυριακή-03,0,0,0,0,0,0,1,20161204,20170625
CALEND-035-Σάββατο-04,0,0,0,0,0,1,0,20161203,20170701
CALEND-036-Καθημερινή-12,1,1,1,1,1,0,0,20161201,20170630
CALEND-036-Κυριακή-08,0,0,0,0,0,0,1,20161204,20170625
CALEND-036-Σάββατο-09,0,0,0,0,0,1,0,20161203,20170701
CALEND-040-Καθημερινή-11,1,1,1,1,1,0,0,20161201,20170630
CALEND-040-Κυριακή-07,0,0,0,0,0,0,1,20161204,20170625
CALEND-040-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-046-Καθημερινή-07,1,1,1,1,1,0,0,20161201,20170630
CALEND-046-Κυριακή-07,0,0,0,0,0,0,1,20161204,20170625
CALEND-046-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-049-Καθημερινή-13,1,1,1,1,1,0,0,20161201,20170630
CALEND-049-Κυριακή-12,0,0,0,0,0,0,1,20161204,20170625
CALEND-049-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
