route_id,route_short_name,route_long_name,route_desc,route_type,route_color, route_text_color
Τ3-20,Τ3,ΝΕΟ ΦΑΛΗΡΟ - AΣΚΛΗΠΕΙΟ ΒΟΥΛΑ,,900,3FFF19,000000
Τ4-20,Τ4,"ΣΥΝΤΑΓΜΑ - ΝΕΟ ΦΑΛΗΡΟ",,900,3FFF19,000000
Τ5-20,Τ5,"ΣΥΝΤΑΓΜΑ - ΒΟΥΛΑ",,900,3FFF19,000000
Μ2-20,Μ2,"ΑΝΘΟΥΠΟΛΗ - ΣΤ.ΕΛΛΗΝΙΚΟ",,1,D81A13,000000
Μ3-20,Μ3,"ΑΓΙΑ ΜΑΡΙΝΑ - ΔΟΥΚ. ΠΛΑΚΕΝΤΙΑΣ - ΑΕΡΟΔΡΟΜΙΟ",,1,FFE4CA,000000
Μ1-20,Μ1,"ΠΕΙΡΑΙΑΣ - ΚΗΦΙΣΙΑ",,1,1C6F0B,ffffff
1-20,1,"ΠΛΑΤ. ΑΤΤΙΚΗΣ - ΤΖΙΤΖΙΦΙΕΣ - ΜΟΣΧΑΤΟ",,800,F19A1E,000000
2-20,2,"ΑΝΩ ΚΥΨΕΛΗ - ΠΑΓΚΡΑΤΙ - ΚΑΙΣΑΡΙΑΝΗ",,800,F19A1E,000000
3-20,3,"Ν. ΦΙΛΑΔΕΛΦΕΙΑ - ΑΝΩ ΠΑΤΗΣΙΑ - ΝΕΟ ΨΥΧΙΚΟ",,800,F19A1E,000000
4-20,4,"ΑΝΩ ΚΥΨΕΛΗ - ΑΓ. ΑΡΤΕΜΙΟΣ - ΣΤ. ΜΕΤΡΟ ΑΓ. ΙΩΑΝΝΗΣ",,800,F19A1E,000000
5-20,5,"ΛΑΜΠΡΙΝΗ - ΠΛ. ΣΥΝΤΑΓΜΑΤΟΣ - ΤΖΙΤΖΙΦΙΕΣ",,800,F19A1E,000000
6-20,6,"ΙΠΠΟΚΡΑΤΟΥΣ -ΚΟΣΜΑΣ ΑΙΤΩΛΟΣ- Ν. ΦΙΛΑΔΕΛΦΕΙΑ",,800,F19A1E,000000
10-20,10,"ΤΖΙΤΖΙΦΙΕΣ - ΧΑΛΑΝΔΡΙ",,800,F19A1E,000000
11-20,11,"Α. ΠΑΤΗΣΙΑ - Ν. ΠΑΓΚΡΑΤΙ - Ν. ΕΛΒΕΤΙΑ",,800,F19A1E,000000
12-20,12,"ΖΑΠΠΕΙΟ - ΠΕΡΙΣΤΕΡΙ",,800,F19A1E,000000
14-20,14,"ΛΑΜΠΡΙΝΗ - Λ. ΑΛΕΞΑΝΔΡΑΣ - ΓΗΡΟΚΟΜΕΙΟ",,800,F19A1E,000000
15-20,15,"ΠΕΤΡΑΛΩΝΑ - ΔΙΚΑΣΤΗΡΙΑ - ΕΛ. ΒΕΝΙΖΕΛΟΥ",,800,F19A1E,000000
16-20,16,"ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ - ΠΕΙΡΑΙΑΣ (ΚΥΚΛΙΚΗ)",,800,F19A1E,000000
17-20,17,"ΠΕΙΡΑΙΑΣ - ΑΓ. ΓΕΩΡΓΙΟΣ (ΚΥΚΛΙΚΗ)",,800,F19A1E,000000
18-20,18,"ΜΟΥΣΕΙΟ - ΧΑΛΑΝΔΡΙ (ΕΘΝ. ΑΝΤΙΣΤΑΣΕΩΣ)",,800,F19A1E,000000
19-20,19,"ΜΟΥΣΕΙΟ - ΣΤ. ΧΑΛΑΝΔΡΙΟΥ (ΣΙΔΕΡΑ)",,800,F19A1E,000000
20-20,20,"Ν. ΦΑΛΗΡΟ - ΚΑΣΤΕΛΛΑ - ΔΡΑΠΕΤΣΩΝΑ",,800,F19A1E,000000
21-20,21,"ΝΙΚΑΙΑ - Π. ΡΑΛΛΗ - ΟΜΟΝΟΙΑ (ΚΥΚΛΙΚΗ)",,800,F19A1E,000000
24-20,24,"ΠΕΤΡΟΥΠΟΛΗ - ΙΛΙΟΝ - ΣΤ. ΑΓ. ΑΝΤΩΝΙΟΣ (ΚΥΚΛΙΚΗ)",,800,F19A1E,000000
25-20,25,"ΚΑΜΑΤΕΡΟ - ΙΛΙΟΝ - ΣΤ. ΑΓ. ΑΝΤΩΝΙΟΣ (ΚΥΚΛΙΚΗ)",,800,F19A1E,000000
021-20,021,"ΚΑΝΙΓΓΟΣ - ΓΚΥΖΗ",,3,153CE0,FFFFFF
022-20,022,"Ν. ΚΥΨΕΛΗ - ΜΑΡΑΣΛΕΙΟΣ",,3,153CE0,FFFFFF
024-20,024,"ΑΓ. ΑΝΑΡΓΥΡΟΙ - ΣΤ. ΑΤΤΙΚΗΣ - ΣΤ. ΛΑΡΙΣΗΣ (ΚΥΚΛΙΚΗ",,3,153CE0,FFFFFF
025-20,025,"ΙΠΠΟΚΡΑΤΟΥΣ - ΠΡΟΦ. ΔΑΝΙΗΛ",,3,153CE0,FFFFFF
026-20,026,"ΙΠΠΟΚΡΑΤΟΥΣ - ΒΟΤΑΝΙΚΟΣ",,3,153CE0,FFFFFF
