route_id,route_short_name,route_long_name,route_type
ΑΘΗΝΘΕΣΣ,,Αθήνα - Θεσσαλονίκη,2
ΑΘΗΝΚΑΛΑ,,Αθήνα - Καλαμπάκα,2
ΑΘΗΝΛΕΙΑ,,Αθήνα - Λειανοκλάδι,2
ΑΘΗΝΠΑΕΡ,,Αθήνα - Αεροδρόμιο,2
ΑΘΗΝΠΕΙΡ,,Αθήνα - Πειραιάς,2
ΑΘΗΝΠΚΙΑ,,Αθήνα - Κιάτο,2
ΑΘΗΝΧΑΛΚ,,Αθήνα - Χαλκίδα,2
ΑΛΕΛΔΚΑΙ,,Αλεξανδρούπολη Λιμάνι - Δίκαια,2
ΑΛΕΛΘΕΣΣ,,Αλεξανδρούπολη Λιμάνι - Θεσσαλονίκη,2
ΑΝΕΔΑΒΑΣ,,Αγ. Ανδρέας - Άγιος Βασίλειος,2
ΑΝΛΕΜΗΛΕ,,Άνω Λεχώνια - Μηλιές,2
ΒΟΓΠΛΑΡΙ_,,Βόλος - γραφείο πόλης - Λάρισα λεωφορείο,3
ΒΟΛΟΛΑΡΙ,,Βόλος - Λάρισα,2
ΒΟΛΟΛΑΡΙ_,,Βόλος - Λάρισα λεωφορείο,3
ΔΙΑΚΚΑΛΒ,,Διακοφτό - Καλάβρυτα,2
ΔΚΑΙΑΛΕΛ,,Δίκαια - Αλεξανδρούπολη Λιμάνι,2
ΔΚΑΙΘΕΣΣ,,Δίκαια - Θεσσαλονίκη,2
ΕΔΕΣΘΕΣΣ,,Έδεσσα - Θεσσαλονίκη,2
ΘΕΣΣΑΘΗΝ,,Θεσσαλονίκη - Αθήνα,2
ΘΕΣΣΑΛΕΛ,,Θεσσαλονίκη - Αλεξανδρούπολη Λιμάνι,2
ΘΕΣΣΔΚΑΙ,,Θεσσαλονίκη - Δίκαια,2
ΘΕΣΣΕΔΕΣ,,Θεσσαλονίκη - Έδεσσα,2
ΘΕΣΣΚΑΛΑ,,Θεσσαλονίκη - Καλαμπάκα,2
ΘΕΣΣΛΑΡΙ,,Θεσσαλονίκη - Λάρισα,2
ΘΕΣΣΜΠΕΟ_,,Θεσσαλονίκη - Βελιγράδι λεωφορείο,3
ΘΕΣΣΠΑΛΦ,,Θεσσαλονίκη - Παλαιοφάρσαλος,2
ΘΕΣΣΣΟΦΙ_,,Θεσσαλονίκη - Σόφια λεωφορείο,3
ΘΕΣΣΦΛΩΡ,,Θεσσαλονίκη - Φλώρινα,2
ΚΑΛΑΑΘΗΝ,,Καλαμπάκα - Αθήνα,2
ΚΑΛΑΘΕΣΣ,,Καλαμπάκα - Θεσσαλονίκη,2
ΚΑΛΑΠΑΛΦ,,Καλαμπάκα - Παλαιοφάρσαλος,2
ΚΑΛΒΔΙΑΚ,,Καλάβρυτα - Διακοφτό,2
ΚΑΤΑΟΛΥΜ,,Κατάκωλο - Ολυμπία,2
ΛΑΜΙΛΕΙΑ_,,Λαμία - Λειανοκλάδι λεωφορείο,3
ΛΑΡΙΒΟΓΠ_,,Λάρισα - Βόλος - γραφείο πόλης λεωφορείο,3
ΛΑΡΙΒΟΛΟ,,Λάρισα - Βόλος,2
ΛΑΡΙΘΕΣΣ,,Λάρισα - Θεσσαλονίκη,2
ΛΑΡΙΚΑΛΑ,,Λάρισα - Καλαμπάκα,2
ΛΕΙΑΑΘΗΝ,,Λειανοκλάδι - Αθήνα,2
ΛΕΙΑΛΑΜΙ_,,Λειανοκλάδι - Λαμία λεωφορείο,3
ΛΕΙΑΣΤΥΛ_,,Λειανοκλάδι - Στυλίδα λεωφορείο,3
ΜΗΛΕΑΝΛΕ,,Μηλιές - Άνω Λεχώνια,2
ΜΠΕΟΘΕΣΣ_,,Βελιγράδι - Θεσσαλονίκη λεωφορείο,3
ΟΙΝΟΧΑΛΚ,,Οινόη - Χαλκίδα,2
ΟΛΥΜΚΑΤΑ,,Ολυμπία - Κατάκωλο,2
ΟΛΥΜΠΥΡΓ,,Ολυμπία - Πύργος Ηλείας,2
ΠΑΕΡΑΘΗΝ,,Αεροδρόμιο - Αθήνα,2
ΠΑΕΡΣΚΑΧ,,Αεροδρόμιο - ΣΚΑ (Κέντρο Αχαρναί),2
ΠΑΛΦΘΕΣΣ,,Παλαιοφάρσαλος - Θεσσαλονίκη,2
ΠΑΛΦΚΑΛΑ,,Παλαιοφάρσαλος - Καλαμπάκα,2
ΠΑΛΦΛΑΡΙ,,Παλαιοφάρσαλος - Λάρισα,2
ΠΑΤΡΑΝΕΔ,,Πάτρα - Αγ. Ανδρέας,2
ΠΑΤΡΠΚΙΑ_,,Πάτρα - Κιάτο λεωφορείο,3
ΠΕΙΡΑΘΗΝ,,Πειραιάς - Αθήνα,2
ΠΚΙΑΑΘΗΝ,,Κιάτο - Αθήνα,2
ΠΚΙΑΠΑΤΡ_,,Κιάτο - Πάτρα λεωφορείο,3
ΠΥΡΓΟΛΥΜ,,Πύργος Ηλείας - Ολυμπία,2
ΣΚΑΧΠΑΕΡ,,ΣΚΑ (Κέντρο Αχαρναί) - Αεροδρόμιο,2
ΣΟΦΙΘΕΣΣ_,,Σόφια - Θεσσαλονίκη λεωφορείο,3
ΣΤΥΛΛΕΙΑ_,,Στυλίδα - Λειανοκλάδι λεωφορείο,3
ΦΛΩΡΘΕΣΣ,,Φλώρινα - Θεσσαλονίκη,2
ΧΑΛΚΑΘΗΝ,,Χαλκίδα - Αθήνα,2
ΧΑΛΚΟΙΝΟ,,Χαλκίδα - Οινόη,2
