shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
ΑΘΗΝΧΑΛΚ,37.9923003,23.7206719,3
ΑΘΗΝΧΑΛΚ,37.9932454,23.7209271,6
ΑΘΗΝΧΑΛΚ,37.9935502,23.7210067,9
ΑΘΗΝΧΑΛΚ,37.9936967,23.721028,12
ΑΘΗΝΧΑΛΚ,37.9938411,23.7210412,15
ΑΘΗΝΧΑΛΚ,37.9940094,23.7210376,18
ΑΘΗΝΧΑΛΚ,37.9942068,23.7210154,21
ΑΘΗΝΧΑΛΚ,37.9947205,23.7209376,24
ΑΘΗΝΧΑΛΚ,37.9950701,23.7208854,27
ΑΘΗΝΧΑΛΚ,37.9955254,23.72082,30
ΑΘΗΝΧΑΛΚ,37.9958936,23.7207638,33
ΑΘΗΝΧΑΛΚ,37.9963391,23.7206975,36
ΑΘΗΝΧΑΛΚ,37.9966196,23.7206562,39
ΑΘΗΝΧΑΛΚ,37.996962,23.7206065,42
ΑΘΗΝΧΑΛΚ,37.9972946,23.7205568,45
ΑΘΗΝΧΑΛΚ,37.9975562,23.7205163,48
ΑΘΗΝΧΑΛΚ,37.9977812,23.7204873,51
ΑΘΗΝΧΑΛΚ,37.9980342,23.7204611,54
ΑΘΗΝΧΑΛΚ,37.9983441,23.7204422,57
ΑΘΗΝΧΑΛΚ,37.9989762,23.720438,60
ΑΘΗΝΧΑΛΚ,37.9993963,23.7204684,63
ΑΘΗΝΧΑΛΚ,37.9999006,23.7205313,66
ΑΘΗΝΧΑΛΚ,38.0004577,23.7206156,69
ΑΘΗΝΧΑΛΚ,38.0010646,23.7207034,72
ΑΘΗΝΧΑΛΚ,38.001701,23.7207997,75
ΑΘΗΝΧΑΛΚ,38.0033067,23.7210353,78
ΑΘΗΝΧΑΛΚ,38.0038097,23.7210997,81
ΑΘΗΝΧΑΛΚ,38.004271,23.7211434,84
ΑΘΗΝΧΑΛΚ,38.0067088,23.7213651,87
ΑΘΗΝΧΑΛΚ,38.0070376,23.7213902,90
ΑΘΗΝΧΑΛΚ,38.0073878,23.7214001,93
ΑΘΗΝΧΑΛΚ,38.0077752,23.7213854,96
ΑΘΗΝΧΑΛΚ,38.007998,23.7213659,99
ΑΘΗΝΧΑΛΚ,38.0081876,23.7213411,102
ΑΘΗΝΧΑΛΚ,38.0083423,23.7213146,105
ΑΘΗΝΧΑΛΚ,38.0085475,23.7212749,108
ΑΘΗΝΧΑΛΚ,38.0087261,23.7212363,111
ΑΘΗΝΧΑΛΚ,38.0089381,23.721179,114
ΑΘΗΝΧΑΛΚ,38.0091445,23.7211134,117
ΑΘΗΝΧΑΛΚ,38.0094815,23.7209891,120
ΑΘΗΝΧΑΛΚ,38.0097459,23.7208786,123
ΑΘΗΝΧΑΛΚ,38.0101929,23.7206995,126
ΑΘΗΝΧΑΛΚ,38.01076,23.720465,129
ΑΘΗΝΧΑΛΚ,38.0113226,23.7202284,132
ΑΘΗΝΧΑΛΚ,38.0116871,23.7200673,135
ΑΘΗΝΧΑΛΚ,38.0121399,23.7198761,138
ΑΘΗΝΧΑΛΚ,38.0127965,23.7196175,141
ΑΘΗΝΧΑΛΚ,38.0132372,23.7194454,144
ΑΘΗΝΧΑΛΚ,38.0135213,23.7193359,147
ΑΘΗΝΧΑΛΚ,38.0138667,23.7191995,150
ΑΘΗΝΧΑΛΚ,38.0142221,23.7190574,153
ΑΘΗΝΧΑΛΚ,38.0148567,23.7187954,156
ΑΘΗΝΧΑΛΚ,38.0152335,23.7186398,159
ΑΘΗΝΧΑΛΚ,38.0154607,23.7185506,162
ΑΘΗΝΧΑΛΚ,38.0157882,23.7184128,165
ΑΘΗΝΧΑΛΚ,38.0160617,23.718349,168
ΑΘΗΝΧΑΛΚ,38.0163343,23.7183064,171
ΑΘΗΝΧΑΛΚ,38.0166364,23.7182867,174
ΑΘΗΝΧΑΛΚ,38.0169094,23.7182796,177
ΑΘΗΝΧΑΛΚ,38.0171905,23.7182867,180
ΑΘΗΝΧΑΛΚ,38.0174171,23.718296,183
ΑΘΗΝΧΑΛΚ,38.0187984,23.7183425,186
ΑΘΗΝΧΑΛΚ,38.0191666,23.7183528,189
ΑΘΗΝΧΑΛΚ,38.0196538,23.7183674,192
ΑΘΗΝΧΑΛΚ,38.019936,23.7183771,195
ΑΘΗΝΧΑΛΚ,38.0203396,23.7183987,198
ΑΘΗΝΧΑΛΚ,38.0207683,23.7184385,201
ΑΘΗΝΧΑΛΚ,38.0211348,23.7184802,204
ΑΘΗΝΧΑΛΚ,38.0216009,23.718537,207
ΑΘΗΝΧΑΛΚ,38.0219734,23.7185843,210
ΑΘΗΝΧΑΛΚ,38.0221696,23.7186109,213
ΑΘΗΝΧΑΛΚ,38.0224583,23.7186452,216
ΑΘΗΝΧΑΛΚ,38.0226735,23.7186779,219
ΑΘΗΝΧΑΛΚ,38.0228455,23.7187064,222
ΑΘΗΝΧΑΛΚ,38.0231045,23.7187649,225
ΑΘΗΝΧΑΛΚ,38.0233557,23.7188352,228
ΑΘΗΝΧΑΛΚ,38.0237128,23.7189442,231
ΑΘΗΝΧΑΛΚ,38.024057,23.7190619,234
ΑΘΗΝΧΑΛΚ,38.0243656,23.7191458,237
ΑΘΗΝΧΑΛΚ,38.0246358,23.7192235,240
ΑΘΗΝΧΑΛΚ,38.0248713,23.7192833,243
ΑΘΗΝΧΑΛΚ,38.0254079,23.7193956,246
ΑΘΗΝΧΑΛΚ,38.0259927,23.7195108,249
ΑΘΗΝΧΑΛΚ,38.0268292,23.7196815,252
ΑΘΗΝΧΑΛΚ,38.0280332,23.7199163,255
ΑΘΗΝΧΑΛΚ,38.0284813,23.7200038,258
ΑΘΗΝΧΑΛΚ,38.0287502,23.720068,261
ΑΘΗΝΧΑΛΚ,38.0289616,23.7201292,264
ΑΘΗΝΧΑΛΚ,38.0291776,23.7202095,267
ΑΘΗΝΧΑΛΚ,38.0293522,23.7202838,270
ΑΘΗΝΧΑΛΚ,38.0295452,23.7203772,273
ΑΘΗΝΧΑΛΚ,38.029713,23.720472,276
ΑΘΗΝΧΑΛΚ,38.0298887,23.7205814,279
ΑΘΗΝΧΑΛΚ,38.0300852,23.7207141,282
ΑΘΗΝΧΑΛΚ,38.0302472,23.720841,285
ΑΘΗΝΧΑΛΚ,38.0305703,23.7211129,288
ΑΘΗΝΧΑΛΚ,38.0313276,23.7217846,291
ΑΘΗΝΧΑΛΚ,38.0320272,23.7223967,294
ΑΘΗΝΧΑΛΚ,38.0328291,23.7231043,297
ΑΘΗΝΧΑΛΚ,38.0336039,23.7237894,300
ΑΘΗΝΧΑΛΚ,38.0344708,23.72455,303
ΑΘΗΝΧΑΛΚ,38.0350484,23.7250588,306
ΑΘΗΝΧΑΛΚ,38.035614,23.7255599,309
ΑΘΗΝΧΑΛΚ,38.0358596,23.7257756,312
ΑΘΗΝΧΑΛΚ,38.0360578,23.7259429,315
ΑΘΗΝΧΑΛΚ,38.0362204,23.7260617,318
ΑΘΗΝΧΑΛΚ,38.0364966,23.7262453,321
ΑΘΗΝΧΑΛΚ,38.0367355,23.726381,324
ΑΘΗΝΧΑΛΚ,38.0369886,23.7265052,327
ΑΘΗΝΧΑΛΚ,38.0372124,23.7265999,330
ΑΘΗΝΧΑΛΚ,38.0374484,23.7266831,333
ΑΘΗΝΧΑΛΚ,38.0379777,23.7268432,336
ΑΘΗΝΧΑΛΚ,38.0389272,23.7271699,339
ΑΘΗΝΧΑΛΚ,38.0390199,23.7272083,342
ΑΘΗΝΧΑΛΚ,38.0392136,23.7273039,345
ΑΘΗΝΧΑΛΚ,38.0395594,23.7274563,348
ΑΘΗΝΧΑΛΚ,38.039862,23.7275966,351
ΑΘΗΝΧΑΛΚ,38.0400365,23.7276759,354
ΑΘΗΝΧΑΛΚ,38.0403791,23.7278547,357
