trip_id,arrival_time,departure_time,stop_id,stop_sequence
1100,05:25:00,05:25:00,ΠΕΙΡ,1
1100,05:27:00,05:27:00,ΠΛΕΥ,2
1100,05:31:00,05:31:00,ΠΑΙΡ,3
1100,05:36:00,05:36:00,ΠΡΟΥ,5
1100,05:43:00,05:43:00,ΑΘΗΝ,6
1101,05:58:00,05:58:00,ΑΘΗΝ,1
1101,06:01:00,06:01:00,ΠΡΟΥ,2
1101,06:07:00,06:07:00,ΠΑΙΡ,4
1101,06:10:00,06:10:00,ΠΛΕΥ,5
1101,06:16:00,06:16:00,ΠΕΙΡ,6
1102,06:25:00,06:25:00,ΠΕΙΡ,1
1102,06:27:00,06:27:00,ΠΛΕΥ,2
1102,06:31:00,06:31:00,ΠΑΙΡ,3
1102,06:36:00,06:36:00,ΠΡΟΥ,5
1102,06:43:00,06:43:00,ΑΘΗΝ,6
1103,06:58:00,06:58:00,ΑΘΗΝ,1
1103,07:01:00,07:01:00,ΠΡΟΥ,2
1103,07:07:00,07:07:00,ΠΑΙΡ,4
1103,07:10:00,07:10:00,ΠΛΕΥ,5
1103,07:16:00,07:16:00,ΠΕΙΡ,6
1104,07:25:00,07:25:00,ΠΕΙΡ,1
1104,07:27:00,07:27:00,ΠΛΕΥ,2
1104,07:31:00,07:31:00,ΠΑΙΡ,3
1104,07:36:00,07:36:00,ΠΡΟΥ,5
1104,07:43:00,07:43:00,ΑΘΗΝ,6
1106,08:25:00,08:25:00,ΠΕΙΡ,1
1106,08:27:00,08:27:00,ΠΛΕΥ,2
1106,08:31:00,08:31:00,ΠΑΙΡ,3
1106,08:36:00,08:36:00,ΠΡΟΥ,5
1106,08:43:00,08:43:00,ΑΘΗΝ,6
1107,08:58:00,08:58:00,ΑΘΗΝ,1
1107,09:01:00,09:01:00,ΠΡΟΥ,2
1107,09:07:00,09:07:00,ΠΑΙΡ,4
1107,09:10:00,09:10:00,ΠΛΕΥ,5
1107,09:16:00,09:16:00,ΠΕΙΡ,6
1108,09:25:00,09:25:00,ΠΕΙΡ,1
1108,09:27:00,09:27:00,ΠΛΕΥ,2
1108,09:31:00,09:31:00,ΠΑΙΡ,3
1108,09:36:00,09:36:00,ΠΡΟΥ,5
1108,09:43:00,09:43:00,ΑΘΗΝ,6
1109,09:58:00,09:58:00,ΑΘΗΝ,1
1109,10:01:00,10:01:00,ΠΡΟΥ,2
1109,10:07:00,10:07:00,ΠΑΙΡ,4
1109,10:10:00,10:10:00,ΠΛΕΥ,5
1109,10:16:00,10:16:00,ΠΕΙΡ,6
1110,10:25:00,10:25:00,ΠΕΙΡ,1
1110,10:27:00,10:27:00,ΠΛΕΥ,2
1110,10:31:00,10:31:00,ΠΑΙΡ,3
1110,10:36:00,10:36:00,ΠΡΟΥ,5
1110,10:43:00,10:43:00,ΑΘΗΝ,6
1111,10:58:00,10:58:00,ΑΘΗΝ,1
1111,11:01:00,11:01:00,ΠΡΟΥ,2
1111,11:07:00,11:07:00,ΠΑΙΡ,4
1111,11:10:00,11:10:00,ΠΛΕΥ,5
1111,11:16:00,11:16:00,ΠΕΙΡ,6
1112,11:25:00,11:25:00,ΠΕΙΡ,1
1112,11:27:00,11:27:00,ΠΛΕΥ,2
1112,11:31:00,11:31:00,ΠΑΙΡ,3
1112,11:36:00,11:36:00,ΠΡΟΥ,5
1112,11:43:00,11:43:00,ΑΘΗΝ,6
1113,11:58:00,11:58:00,ΑΘΗΝ,1
1113,12:01:00,12:01:00,ΠΡΟΥ,2
1113,12:07:00,12:07:00,ΠΑΙΡ,4
1113,12:10:00,12:10:00,ΠΛΕΥ,5
1113,12:16:00,12:16:00,ΠΕΙΡ,6
1114,12:25:00,12:25:00,ΠΕΙΡ,1
1114,12:27:00,12:27:00,ΠΛΕΥ,2
1114,12:31:00,12:31:00,ΠΑΙΡ,3
1114,12:36:00,12:36:00,ΠΡΟΥ,5
1114,12:43:00,12:43:00,ΑΘΗΝ,6
1115,12:58:00,12:58:00,ΑΘΗΝ,1
1115,13:01:00,13:01:00,ΠΡΟΥ,2
1115,13:07:00,13:07:00,ΠΑΙΡ,4
1115,13:10:00,13:10:00,ΠΛΕΥ,5
1115,13:16:00,13:16:00,ΠΕΙΡ,6
1116,13:25:00,13:25:00,ΠΕΙΡ,1
1116,13:27:00,13:27:00,ΠΛΕΥ,2
1116,13:31:00,13:31:00,ΠΑΙΡ,3
1116,13:36:00,13:36:00,ΠΡΟΥ,5
1116,13:43:00,13:43:00,ΑΘΗΝ,6
1117,13:58:00,13:58:00,ΑΘΗΝ,1
1117,14:01:00,14:01:00,ΠΡΟΥ,2
1117,14:07:00,14:07:00,ΠΑΙΡ,4
1117,14:10:00,14:10:00,ΠΛΕΥ,5
1117,14:16:00,14:16:00,ΠΕΙΡ,6
1118,14:25:00,14:25:00,ΠΕΙΡ,1
1118,14:27:00,14:27:00,ΠΛΕΥ,2
1118,14:31:00,14:31:00,ΠΑΙΡ,3
1118,14:36:00,14:36:00,ΠΡΟΥ,5
1118,14:43:00,14:43:00,ΑΘΗΝ,6
1119,14:58:00,14:58:00,ΑΘΗΝ,1
1119,15:01:00,15:01:00,ΠΡΟΥ,2
1119,15:07:00,15:07:00,ΠΑΙΡ,4
1119,15:10:00,15:10:00,ΠΛΕΥ,5
1119,15:16:00,15:16:00,ΠΕΙΡ,6
1120,15:25:00,15:25:00,ΠΕΙΡ,1
1120,15:27:00,15:27:00,ΠΛΕΥ,2
1120,15:31:00,15:31:00,ΠΑΙΡ,3
1120,15:36:00,15:36:00,ΠΡΟΥ,5
1120,15:43:00,15:43:00,ΑΘΗΝ,6
1121,15:58:00,15:58:00,ΑΘΗΝ,1
1121,16:01:00,16:01:00,ΠΡΟΥ,2
1121,16:07:00,16:07:00,ΠΑΙΡ,4
1121,16:10:00,16:10:00,ΠΛΕΥ,5
1121,16:16:00,16:16:00,ΠΕΙΡ,6
1122,16:25:00,16:25:00,ΠΕΙΡ,1
1122,16:27:00,16:27:00,ΠΛΕΥ,2
1122,16:31:00,16:31:00,ΠΑΙΡ,3
1122,16:36:00,16:36:00,ΠΡΟΥ,5
1122,16:43:00,16:43:00,ΑΘΗΝ,6
1123,16:58:00,16:58:00,ΑΘΗΝ,1
1123,17:01:00,17:01:00,ΠΡΟΥ,2
1123,17:07:00,17:07:00,ΠΑΙΡ,4
1123,17:10:00,17:10:00,ΠΛΕΥ,5
1123,17:16:00,17:16:00,ΠΕΙΡ,6
1124,17:25:00,17:25:00,ΠΕΙΡ,1
1124,17:27:00,17:27:00,ΠΛΕΥ,2
1124,17:31:00,17:31:00,ΠΑΙΡ,3
1124,17:36:00,17:36:00,ΠΡΟΥ,5
1124,17:43:00,17:43:00,ΑΘΗΝ,6
1125,17:58:00,17:58:00,ΑΘΗΝ,1
1125,18:01:00,18:01:00,ΠΡΟΥ,2
1125,18:07:00,18:07:00,ΠΑΙΡ,4
1125,18:10:00,18:10:00,ΠΛΕΥ,5
1125,18:16:00,18:16:00,ΠΕΙΡ,6
1126,18:25:00,18:25:00,ΠΕΙΡ,1
1126,18:27:00,18:27:00,ΠΛΕΥ,2
1126,18:31:00,18:31:00,ΠΑΙΡ,3
