stop_id,stop_name,stop_lat,stop_lon
ΑΒΑΣ,Άγιος Βασίλειος,38.31453,21.82059
ΑΓΓΕ,Αγγείαι,39.09057,22.19054
ΑΓΥΑ,Αγυά Πατρών,38.27026,21.74603
ΑΔΕΝ,Άδενδρο,40.67432,22.6027
ΑΘΗΝ,Αθήνα,37.99261,23.72084
ΑΘΩΜ,Αγ. Θωμάς,38.28184,23.66712
ΑΙΓΝ,Αιγίνιο,40.51166,22.54072
ΑΚΡΟ,Ακρολίμνι,41.19267,22.77945
ΑΛΑΛ,Αλαλκομεναί,38.40829,22.98217
ΑΛΕΛ,Αλεξανδρούπολη Λιμάνι,40.8451,25.87866
ΑΛΕΝ,Αλεξάνδρεια,40.62052,22.44292
ΑΛΙΑ,Αλίαρτος,38.37961,23.11185
ΑΛΤΣ,Αλέκσινατς,43.50853,21.6936
ΑΜΑΡ,Αγ. Μαρίνα,38.89556,22.58199
ΑΜΟΡ,Αμόριο,41.29507,26.44181
ΑΜΥΝ,Αμύνταιο,40.6909,21.6863
ΑΜΦΙ,Αμφίκλεια,38.65818,22.59465
ΑΝΕΔ,Αγ. Ανδρέας,38.23909,21.72731
ΑΝΛΕ,Άνω Λεχώνια,39.32553,23.05379
ΑΠΑΝ,Αγ. Παντελεήμων,40.72683,21.74577
ΑΡΜΕ,Αρμένιο,39.4843,22.69526
ΑΡΝΙ,Άρνισσα,40.79805,21.83505
ΑΣΤΕ,Αγ. Στέφανος,38.14034,23.8594
ΑΥΛΙ,Αυλίδα,38.40469,23.60359
ΑΥΛΩ,Αυλώνα,38.24998,23.69562
ΑΦΙΔ,Αφίδναι,38.18769,23.84441
ΑΧΑΡ,Αχαρνές,38.08032,23.74391
ΒΑΣΣ,Βασιλική,38.90905,22.60131
ΒΕΛΕ,Βελεστίνο,39.39035,22.76003
ΒΕΝΝ,Βέννα,41.0232,25.50861
ΒΕΠΛ,Βέλικα Πλάνα,44.3254,21.0823
ΒΕΡΟ,Βέροια,40.53939,22.21359
ΒΕΥΗ,Βεύη,40.7741,21.56734
ΒΝΙΣ,Νις,43.31648,21.87723
ΒΟΛΟ,Βόλος,39.36469,22.93644
ΒΡΑΒ,Βράνισκα Μπάνια,42.56848,21.98287
ΒΥΡΩ,Βυρώνεια,41.26223,23.25351
ΓΑΖΩ,Γάζωρος,41.01669,23.76592
ΓΑΛΛ,Γαλλικός,40.8602,22.88621
ΓΑΤΖ,Γατζέα,39.3221,23.094
ΓΕΥΓ,Γευγελή,41.14324,22.5123
ΔΑΥΛ,Δαυλεία,38.53444,22.81229
ΔΕΚΕ,Δεκέλεια,38.09924,23.77903
ΔΙΑΚ,Διακοφτό,38.19175,22.19798
ΔΙΔΥ,Διδυμότειχο,41.35291,26.51297
ΔΙΛΟ,Δίλοφος,41.69307,26.37826
ΔΚΑΙ,Δίκαια,41.70665,26.30255
ΔΟΙΡ,Δοϊράνη,41.17277,22.77207
ΔΟΜΟ,Δομοκός,39.18041,22.28598
ΔΟΞΑ,Δοξαράς,39.45803,22.27362
ΔΡΑΜ,Δράμα,41.14035,24.14701
ΕΔΕΣ,Έδεσσα,40.80896,22.05124
ΕΙΔΟ,Ειδομένη,41.12075,22.51837
ΕΠΙΣ,Επισκοπή Νάουσας,40.68636,22.14088
ΘΕΣΣ,Θεσσαλονίκη,40.64441,22.92978
ΘΗΒΑ,Θήβα,38.32974,23.31872
ΘΟΥΡ,Θούριο,41.43449,26.56143
ΙΑΣΜ,Ίασμος,41.12593,25.1862
ΚΑΒΥ,Καβύλλη,41.55702,26.53425
ΚΑΛΑ,Καλαμπάκα,39.70306,21.62511
ΚΑΛΒ,Καλάβρυτα,38.0335,22.10999
ΚΑΛΙ,Καλίνδοια,41.11706,22.78322
ΚΑΛΠ,Καλοχώρι-Παντείχι,38.38781,23.59408
ΚΑΡΔ,Καρδίτσα,39.35403,21.91497
ΚΑΣΛ,Καστελόκαμπος,38.29131,21.77134
ΚΑΣΣ,Καστανούσσα,41.27609,22.89591
ΚΑΣΤ,Καστανέαι,41.64723,26.48641
ΚΑΤΕ,Κατερίνη,40.269,22.53105
ΚΑΧΡ,Κάτω Αχαρναί,38.05386,23.73265
ΚΕΡΠ,Κερπίνη,38.05282,22.14468
ΚΕΦΧ,Κεφαλοχώρι Ημαθίας,40.57879,22.36481
ΚΗΦΙ,Κηφισσός,38.58603,22.74474
ΚΙΛΚ,Κιλκίς,40.95835,22.8571
ΚΙΡΚ,Κίρκη,40.97557,25.79768
ΚΟΛΡ,Κουλούρα,40.54899,22.31413
ΚΟΜΟ,Κομοτηνή,41.11004,25.394
ΚΟΡΝ,Κορνοφωλιά,41.15769,26.30128
ΚΟΡΟ,Κορινός,40.31615,22.57754
ΚΟΥΛ,Κουλάτα,41.39187,23.36172
ΚΟΥΠ,Κούπριχα,43.91676,21.36609
ΚΡΑΝ,Κρανώνας,39.51224,22.33529
ΚΥΨΕ,Κυψέλη Λάρισσας,39.52265,22.65334
ΛΑΒΑ,Λάβαρα,41.26853,26.39081
ΛΑΓΙ,Λαγυνά,41.08616,26.30137
ΛΑΜΙ,Λαμία,38.89603,22.43492
ΛΑΠΟ,Λάποβο,44.15791,21.10204
ΛΑΡΙ,Λάρισα,39.62951,22.42272
ΛΕΒΑ,Λειβαδειά,38.47057,22.92664
ΛΕΙΑ,Λειανοκλάδι,38.89096,22.37211
